taxon	age
V_hainanense	0.0
V_sempervirens	0.0
V_anamensis	0.0
V_adenophorum	0.0
V_phlebotrichum	0.0
V_setigerum	0.0
V_fordiae	0.0
V_tashiroi	0.0
V_formosanum	0.0
V_luzonicum	0.0
V_erosum	0.0
V_brevipes	0.0
V_dalzielii	0.0
V_lancifolium	0.0
V_brachyandrum	0.0
V_dilatatum	0.0
V_ichangense	0.0
V_wrightii	0.0
V_corylifolium	0.0
V_parvifolium	0.0
V_longiradiatum	0.0
V_melanocarpum	0.0
V_flavescens	0.0
V_hupehense	0.0
V_integrifolium	0.0
V_japonicum	0.0
V_betulifolium	0.0
V_lobophyllum	0.0
V_mullaha	0.0
V_foetidum	0.0
V_chunii	0.0
V_acerifolium	0.0
V_orientale	0.0
V_kansuense	0.0
V_hispidulum	0.0
V_vernicosum	0.0
V_glaberrimum	0.0
V_beccarii	0.0
V_inopinatum	0.0
V_sambucinum	0.0
V_leiocarpum	0.0
V_ternatum	0.0
V_coriaceum	0.0
V_cylindricum	0.0
V_hebanthum	0.0
V_opulus	0.0
V_sargentii	0.0
V_trilobum	0.0
V_edule	0.0
V_koreanum	0.0
V_anabaptista	0.0
V_subsessile	0.0
V_tinoides	0.0
V_undulatum	0.0
V_lasiophyllum	0.0
V_glabratum	0.0
V_seemenii	0.0
V_divaricatum	0.0
V_stipitatum	0.0
V_jamesonii	0.0
V_obtectum	0.0
V_pichinchense	0.0
V_triphyllum	0.0
V_ayavacense	0.0
V_hallii	0.0
V_toronis	0.0
V_costaricanum	0.0
V_hartwegii	0.0
V_obtusatum	0.0
V_disjunctum	0.0
V_stellato_tomentosum	0.0
V_hondurense	0.0
V_villosum	0.0
V_jucundum	0.0
V_lautum	0.0
V_acutifolium	0.0
V_sulcatum	0.0
V_venustum	0.0
V_blandum	0.0
V_discolor	0.0
V_ciliatum	0.0
V_microphyllum	0.0
V_stenocalyx	0.0
V_caudatum	0.0
V_microcarpum	0.0
V_loeseneri	0.0
V_dentatum	0.0
V_scabrellum	0.0
V_recognitum	0.0
V_molle	0.0
V_rafinesquianum	0.0
V_bracteatum	0.0
V_australe	0.0
V_ellipticum	0.0
V_davidii	0.0
V_propinquum	0.0
V_cinnamomifolium	0.0
V_atrocyaneum	0.0
V_calvum	0.0
V_rigidum	0.0
V_tinus	0.0
V_erubescens	0.0
V_oliganthum	0.0
V_brevitubum	0.0
V_wardii	0.0
V_brachybotryum	0.0
V_henryi	0.0
V_chingii	0.0
V_suspensum	0.0
V_taitoense	0.0
V_tengyuehense	0.0
V_corymbiflorum	0.0
V_shweliense	0.0
V_foetens	0.0
V_grandiflorum	0.0
V_farreri	0.0
V_subalpinum	0.0
V_awabuki	0.0
V_odoratissimum	0.0
V_sieboldii	0.0
V_yunnanense	0.0
V_colebrookeanum	0.0
V_lutescens	0.0
V_pyramidatum	0.0
V_junghunii	0.0
V_amplifolium	0.0
V_hanceanum	0.0
V_plicatum	0.0
V_amplificatum	0.0
V_buddleifolium	0.0
V_chinshanense	0.0
V_rhytidophyllum	0.0
V_glomeratum	0.0
V_veitchii	0.0
V_burejaeticum	0.0
V_lantana	0.0
V_mongolicum	0.0
V_cotinifolium	0.0
V_bitchiuense	0.0
V_carlesii	0.0
V_congestum	0.0
V_schensianum	0.0
V_utile	0.0
V_macrocephalum	0.0
V_elatum	0.0
V_obovatum	0.0
V_prunifolium	0.0
V_rufidulum	0.0
V_lentago	0.0
V_cassinoides	0.0
V_nudum	0.0
V_punctatum	0.0
V_lepidotulum	0.0
V_furcatum	0.0
V_sympodiale	0.0
V_lantanoides	0.0
V_nervosum	0.0
V_taiwanianum	0.0
V_urceolatum	0.0
V_clemensiae	0.0
V_maculatum	0.0
V_treleasei	0.0
V_garrettii	0.0
Valvatotinus_PB	45.0
Valvatotinus_NWT	45.0
Valvatotinus_IS	15.0
Viburnum_BC	47.0
Porphyrotinus_CO	34.0
